1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-90.38,-47.02,-112.36,-94.65,-62.29,-36.03,-81.83,-110.53,-69,-20.76,-57.4,-64.12,-38.47,-3.05,-43.97,-19.54,-42.13,-29.92,-65.34,-37.25
-90.38,-47.02,-112.97,-94.65,-62.29,-36.03,-80.61,-109.92,-69.61,-20.76,-56.79,-63.51,-39.08,-3.66,-43.97,-19.54,-42.13,-29.92,-65.34,-37.86
-89.77,-47.02,-112.36,-94.65,-61.68,-36.03,-80.61,-109.31,-69,-20.15,-56.79,-64.12,-39.08,-3.66,-43.97,-20.15,-43.36,-31.14,-65.95,-37.86
-90.38,-47.02,-112.36,-94.04,-61.68,-36.03,-80,-108.09,-69.61,-20.15,-55.57,-63.51,-40.3,-4.27,-44.58,-20.15,-42.75,-29.92,-65.34,-37.25
-89.77,-47.02,-112.36,-94.65,-61.68,-35.42,-79.38,-108.09,-69,-20.15,-55.57,-63.51,-39.69,-4.27,-43.36,-20.15,-43.36,-30.53,-65.34,-37.25
-90.38,-47.63,-112.36,-94.65,-61.68,-36.03,-78.77,-106.86,-69,-20.15,-55.57,-63.51,-39.69,-4.89,-43.97,-20.15,-43.36,-31.14,-64.73,-37.25
-90.38,-46.41,-112.36,-94.04,-62.29,-36.03,-78.16,-107.47,-68.39,-20.15,-54.96,-63.51,-40.3,-6.11,-43.97,-20.15,-43.97,-31.75,-64.73,-37.86
-90.38,-47.02,-112.36,-94.04,-61.68,-36.03,-76.94,-106.25,-68.39,-18.93,-54.96,-63.51,-40.3,-5.5,-43.97,-20.15,-44.58,-31.75,-64.73,-37.25
-90.38,-47.02,-111.75,-94.04,-61.68,-35.42,-76.33,-105.64,-68.39,-18.93,-54.96,-63.51,-40.3,-5.5,-43.36,-20.15,-44.58,-31.75,-64.12,-37.86
-90.99,-47.02,-112.36,-94.04,-61.06,-35.42,-75.11,-105.64,-68.39,-18.93,-54.35,-63.51,-40.91,-6.72,-43.97,-20.76,-45.19,-32.36,-64.12,-37.25
-90.38,-46.41,-112.36,-94.04,-61.06,-35.42,-75.11,-104.42,-68.39,-18.93,-54.35,-62.9,-40.91,-6.72,-43.36,-20.76,-45.8,-32.36,-64.12,-37.25
-90.99,-47.02,-112.36,-94.04,-61.68,-36.03,-75.11,-104.42,-68.39,-18.93,-53.74,-63.51,-40.91,-6.72,-43.36,-20.76,-46.41,-32.36,-64.73,-37.86
-90.38,-47.02,-112.36,-93.43,-61.06,-35.42,-73.89,-103.2,-67.78,-17.71,-53.74,-62.9,-42.13,-6.72,-43.36,-20.76,-45.8,-32.36,-63.51,-37.86
-90.99,-47.02,-111.75,-94.04,-61.06,-36.03,-73.28,-103.81,-67.78,-17.71,-53.13,-62.9,-42.13,-7.33,-42.75,-20.76,-45.8,-32.36,-63.51,-37.86
-90.99,-47.02,-111.75,-94.04,-61.06,-35.42,-72.06,-102.59,-67.78,-17.71,-53.13,-62.9,-42.75,-7.94,-42.75,-21.37,-45.8,-31.14,-63.51,-37.25
-90.99,-47.02,-111.75,-94.04,-61.06,-36.64,-72.06,-102.59,-64.73,-17.1,-51.29,-62.9,-42.75,-8.55,-42.75,-21.37,-46.41,-30.53,-62.9,-36.03
-90.99,-47.02,-111.75,-93.43,-60.45,-35.42,-70.22,-101.37,-60.45,-10.99,-48.85,-63.51,-43.36,-8.55,-42.75,-20.76,-47.02,-32.36,-63.51,-37.25
-91.6,-46.41,-111.75,-94.04,-60.45,-34.81,-69,-100.15,-59.84,-9.77,-46.41,-64.12,-42.75,-9.77,-42.75,-21.37,-48.24,-35.42,-64.12,-38.47
